capital,"100,000",,,,,,,,
,,,,,,,,,
date,Close,220 SMA,230 SMA,Signal ,Entry/Exit point,Position,Cash,,Buy&Hold
8/25/2016,201.2873,188.3800523,187.9667826,1,0,506.8128315,0,,526.7141517
8/26/2016,200.9082,188.4653318,188.0964839,1,0,506.8128315,0,,526.7141517
8/29/2016,201.8983,188.5590814,188.2166087,1,0,506.8128315,0,,526.7141517
8/30/2016,201.5647,188.6386627,188.3331478,1,0,506.8128315,0,,526.7141517
8/31/2016,200.9914,188.7118345,188.4358439,1,0,506.8128315,0,,526.7141517
9/1/2016,201.0007,188.784635,188.5248574,1,0,506.8128315,0,,526.7141517
9/2/2016,201.9068,188.8626291,188.6204996,1,0,506.8128315,0,,526.7141517
9/6/2016,202.5178,188.94861,188.7123917,1,0,506.8128315,0,,526.7141517
9/7/2016,202.4985,189.0206109,188.7970813,1,0,506.8128315,0,,526.7141517
9/8/2016,202.0362,189.08096,188.8792865,1,0,506.8128315,0,,526.7141517
9/9/2016,197.2005,189.12152,188.9397157,1,0,506.8128315,0,,526.7141517
9/12/2016,200.0298,189.1766768,189.0174683,1,0,506.8128315,0,,526.7141517
9/13/2016,197.1543,189.2089641,189.0865157,1,0,506.8128315,0,,526.7141517
9/14/2016,197.0803,189.2411218,189.1431396,1,0,506.8128315,0,,526.7141517
9/15/2016,199.0497,189.2862005,189.2046878,1,0,506.8128315,0,,526.7141517
9/16/2016,198.2842,189.3176286,189.2625122,1,0,506.8128315,0,,526.7141517
9/19/2016,198.3214,189.3467041,189.3215265,1,0,506.8128315,0,,526.7141517
9/20/2016,198.3307,189.378385,189.3855643,0,-1,0,100516.5436,,526.7141517
9/21/2016,200.561,189.4211545,189.4460109,0,0,0,100516.5436,,526.7141517
9/22/2016,201.8249,189.4701241,189.5028174,0,0,0,100516.5436,,526.7141517
9/23/2016,200.719,189.5221705,189.5569117,0,0,0,100516.5436,,526.7141517
9/26/2016,199.0927,189.56484,189.6055961,0,0,0,100516.5436,,526.7141517
9/27/2016,200.3287,189.6165182,189.6502813,0,0,0,100516.5436,,526.7141517
9/28/2016,201.323,189.6847059,189.6994874,0,0,0,100516.5436,,526.7141517
9/29/2016,199.5016,189.7541241,189.7445709,1,1,503.8382832,0,,526.7141517
9/30/2016,201.0071,189.8176509,189.7864713,1,0,503.8382832,0,,526.7141517
10/3/2016,200.5238,189.8796009,189.8238583,1,0,503.8382832,0,,526.7141517
10/4/2016,199.5016,189.9234264,189.8592526,1,0,503.8382832,0,,526.7141517
10/5/2016,200.3844,189.9720086,189.8993948,1,0,503.8382832,0,,526.7141517
10/6/2016,200.5238,190.0180823,189.9405783,1,0,503.8382832,0,,526.7141517
10/7/2016,199.8362,190.0620227,189.9865235,1,0,503.8382832,0,,526.7141517
10/10/2016,200.877,190.1095364,190.0350957,1,0,503.8382832,0,,526.7141517
10/11/2016,198.34,190.1456423,190.0758804,1,0,503.8382832,0,,526.7141517
10/12/2016,198.6002,190.1819386,190.1292652,1,0,503.8382832,0,,526.7141517
10/13/2016,197.9497,190.218875,190.1889178,1,0,503.8382832,0,,526.7141517
10/14/2016,198.0519,190.2480486,190.2368339,1,0,503.8382832,0,,526.7141517
10/17/2016,197.3642,190.2829855,190.282353,1,0,503.8382832,0,,526.7141517
10/18/2016,198.6002,190.3356132,190.3203539,1,0,503.8382832,0,,526.7141517
10/19/2016,199.1299,190.3740691,190.3613696,1,0,503.8382832,0,,526.7141517
10/20/2016,198.7582,190.4160864,190.3977635,1,0,503.8382832,0,,526.7141517
10/21/2016,198.8511,190.4643141,190.4355104,1,0,503.8382832,0,,526.7141517
10/24/2016,199.6968,190.5230427,190.475827,1,0,503.8382832,0,,526.7141517
10/25/2016,199.0277,190.5765386,190.513353,1,0,503.8382832,0,,526.7141517
10/26/2016,198.6281,190.644715,190.5481926,1,0,503.8382832,0,,526.7141517
10/27/2016,198.0984,190.7062664,190.5841696,1,0,503.8382832,0,,526.7141517
10/28/2016,197.5129,190.75635,190.6097313,1,0,503.8382832,0,,526.7141517
10/31/2016,197.5222,190.7940723,190.6438361,1,0,503.8382832,0,,526.7141517
11/1/2016,196.0911,190.8383959,190.6832665,1,0,503.8382832,0,,526.7141517
11/2/2016,194.9109,190.8923568,190.701707,1,0,503.8382832,0,,526.7141517
11/3/2016,194.0188,190.9353995,190.7212913,1,0,503.8382832,0,,526.7141517
11/4/2016,193.805,190.9698586,190.7454826,1,0,503.8382832,0,,526.7141517
11/7/2016,198.0798,191.0132664,190.7946274,1,0,503.8382832,0,,526.7141517
11/8/2016,198.9719,191.0621432,190.8455548,1,0,503.8382832,0,,526.7141517
11/9/2016,201.0807,191.1225605,190.9214304,1,0,503.8382832,0,,526.7141517
11/10/2016,201.5832,191.1761523,190.995457,1,0,503.8382832,0,,526.7141517
11/11/2016,201.1186,191.2337473,191.05904,1,0,503.8382832,0,,526.7141517
11/14/2016,201.2766,191.3006291,191.1114457,1,0,503.8382832,0,,526.7141517
11/15/2016,202.8471,191.3865077,191.1832161,1,0,503.8382832,0,,526.7141517
11/16/2016,202.4661,191.4692368,191.2676796,1,0,503.8382832,0,,526.7141517
11/17/2016,203.5069,191.5672623,191.3501035,1,0,503.8382832,0,,526.7141517
11/18/2016,203.0515,191.6830586,191.4232665,1,0,503.8382832,0,,526.7141517
11/21/2016,204.5849,191.8146723,191.49307,1,0,503.8382832,0,,526.7141517
11/22/2016,204.9845,191.9473245,191.5659635,1,0,503.8382832,0,,526.7141517
11/23/2016,205.096,192.0740332,191.6412117,1,0,503.8382832,0,,526.7141517
11/25/2016,205.858,192.2242995,191.7110596,1,0,503.8382832,0,,526.7141517
11/28/2016,204.8915,192.3572777,191.7825543,1,0,503.8382832,0,,526.7141517
11/29/2016,205.2911,192.50921,191.8639826,1,0,503.8382832,0,,526.7141517
11/30/2016,204.7986,192.6578636,191.9546122,1,0,503.8382832,0,,526.7141517
12/1/2016,204.0459,192.8131205,192.040613,1,0,503.8382832,0,,526.7141517
12/2/2016,204.1481,192.9645159,192.1371643,1,0,503.8382832,0,,526.7141517
12/5/2016,205.3748,193.1055559,192.2580274,1,0,503.8382832,0,,526.7141517
12/6/2016,206.0253,193.2615323,192.3901813,1,0,503.8382832,0,,526.7141517
12/7/2016,208.7202,193.41911,192.5333083,1,0,503.8382832,0,,526.7141517
12/8/2016,209.2314,193.5876214,192.6724878,1,0,503.8382832,0,,526.7141517
12/9/2016,210.4952,193.7578009,192.8363826,1,0,503.8382832,0,,526.7141517
12/12/2016,210.2536,193.9077036,192.9868926,1,0,503.8382832,0,,526.7141517
12/13/2016,211.6568,194.0642786,193.1598961,1,0,503.8382832,0,,526.7141517
12/14/2016,209.9097,194.2274295,193.3243087,1,0,503.8382832,0,,526.7141517
12/15/2016,210.774,194.3897668,193.5020678,1,0,503.8382832,0,,526.7141517
12/16/2016,210.3641,194.5489932,193.673907,1,0,503.8382832,0,,526.7141517
12/19/2016,210.8222,194.7254845,193.8324991,1,0,503.8382832,0,,526.7141517
12/20/2016,211.6354,194.9161959,194.0060857,1,0,503.8382832,0,,526.7141517
12/21/2016,211.0465,195.1041886,194.1669265,1,0,503.8382832,0,,526.7141517
12/22/2016,210.6819,195.2911895,194.3344178,1,0,503.8382832,0,,526.7141517
12/23/2016,210.9904,195.4896173,194.4993513,1,0,503.8382832,0,,526.7141517
12/27/2016,211.5139,195.6747432,194.6482161,1,0,503.8382832,0,,526.7141517
12/28/2016,209.7658,195.8388205,194.7897617,1,0,503.8382832,0,,526.7141517
12/29/2016,209.7191,195.9897909,194.9449904,1,0,503.8382832,0,,526.7141517
12/30/2016,208.9526,196.1405632,195.0923504,1,0,503.8382832,0,,526.7141517
1/3/2017,210.5511,196.2989759,195.245467,1,0,503.8382832,0,,526.7141517
1/4/2017,211.8037,196.4515186,195.4185522,1,0,503.8382832,0,,526.7141517
1/5/2017,211.6354,196.6135286,195.6009717,1,0,503.8382832,0,,526.7141517
1/6/2017,212.3926,196.77532,195.7866435,1,0,503.8382832,0,,526.7141517
1/9/2017,211.6915,196.9241914,195.9699035,1,0,503.8382832,0,,526.7141517
1/10/2017,211.6915,197.0749377,196.1627522,1,0,503.8382832,0,,526.7141517
1/11/2017,212.2898,197.2347645,196.3432026,1,0,503.8382832,0,,526.7141517
1/12/2017,211.7569,197.3732432,196.508803,1,0,503.8382832,0,,526.7141517
1/13/2017,212.243,197.5102291,196.664183,1,0,503.8382832,0,,526.7141517
1/17/2017,211.4952,197.6405923,196.8194548,1,0,503.8382832,0,,526.7141517
