Date,Bullish,Neutral,Bearish,Bull 8 wk mov avg,Bull 16 wk mov avg,Bear 8 wk mov avg,Bear 16 wk mov avg,Neutral 8 wk mov avg,Neutral 16 wk mov avg,Bull-Bear Spread,Close,Close in 4 wks,Close in 8 wks
10-11-18,0.31,0.34,0.35,0.38,0.34,0.29,0.30,0.33,0.34,-0.05,2785.68,2813.89,2700.06
10-18-18,0.34,0.31,0.35,0.37,0.34,0.30,0.30,0.33,0.34,-0.01,2809.21,2701.58,2651.07
10-25-18,0.28,0.31,0.41,0.35,0.34,0.32,0.30,0.33,0.34,-0.13,2656.10,2649.93,2506.96
11-1-18,0.38,0.28,0.34,0.35,0.34,0.33,0.31,0.32,0.34,0.03,2711.74,2743.79,2467.70
11-8-18,0.41,0.28,0.31,0.36,0.33,0.33,0.31,0.31,0.33,0.10,2813.89,2700.06,2510.03
11-15-18,0.35,0.29,0.36,0.36,0.32,0.34,0.32,0.30,0.32,-0.01,2701.58,2651.07,2584.96
11-22-18,0.25,0.28,0.47,0.35,0.32,0.36,0.32,0.30,0.32,-0.22,2649.93,2506.96,2616.10
11-29-18,0.34,0.27,0.39,0.33,0.31,0.37,0.33,0.29,0.31,-0.06,2743.79,2467.70,2638.70
12-6-18,0.38,0.32,0.30,0.34,0.31,0.37,0.33,0.29,0.31,0.07,2700.06,2510.03,2681.05
12-13-18,0.21,0.30,0.49,0.33,0.31,0.39,0.34,0.29,0.31,-0.28,2651.07,2584.96,2731.61
12-20-18,0.25,0.28,0.47,0.32,0.31,0.39,0.36,0.28,0.31,-0.22,2506.96,2616.10,2753.03
12-27-18,0.32,0.18,0.50,0.31,0.30,0.41,0.37,0.27,0.30,-0.19,2467.70,2638.70,2779.76
1-3-19,0.33,0.24,0.43,0.30,0.29,0.43,0.38,0.27,0.29,-0.10,2510.03,2681.05,2792.38
1-10-19,0.38,0.32,0.29,0.31,0.29,0.42,0.38,0.27,0.29,0.09,2584.96,2731.61,2771.45
1-17-19,0.34,0.30,0.36,0.32,0.29,0.41,0.38,0.28,0.29,-0.03,2616.10,2753.03,2810.92
1-24-19,0.38,0.30,0.32,0.32,0.29,0.40,0.39,0.28,0.29,0.05,2638.70,2779.76,2824.23
1-31-19,0.32,0.36,0.32,0.31,0.29,0.40,0.38,0.29,0.29,0.00,2681.05,2792.38,2805.37
2-7-19,0.40,0.37,0.23,0.34,0.29,0.37,0.38,0.30,0.29,0.17,2731.61,2771.45,2873.40
