Date,Bull-Bear Spread,Close,SMA Signal,SMA1,SMA40,Sell Signals,Buy/Sell SMA,Buy Signals
9/8/2016,0.01,2186.16,0,2186.16,2057.026,0,0,0
9/15/2016,-0.08,2125.77,0,2125.77,2058.97975,0,0,0
9/22/2016,-0.13,2163.12,0,2163.12,2061.231,0,0,0
9/29/2016,-0.13,2171.37,0,2171.37,2063.908,0,0,0
10/6/2016,0.01,2159.73,0,2159.73,2066.31725,0,0,0
10/13/2016,-0.08,2139.18,0,2139.18,2070.04025,0,0,0
10/20/2016,-0.14,2144.29,0,2144.29,2076.3905,0,0,0
10/27/2016,-0.09,2139.43,0,2139.43,2083.393,0,0,0
11/3/2016,-0.11,2097.94,0,2097.94,2088.76775,0,0,0
11/10/2016,0.1,2163.26,0,2163.26,2095.036,0,0,0
11/17/2016,0.2,2164.2,0,2164.2,2102.8445,0,0,0
11/24/2016,0.28,2204.72,0,2204.72,2109.792,0,0,0
12/1/2016,0.19,2198.81,0,2198.81,2116.51725,0,0,0
12/8/2016,0.17,2241.35,0,2241.35,2122.88975,0,0,0
12/15/2016,0.12,2253.28,0,2253.28,2129.49025,0,0,0
12/22/2016,0.15,2258.66,0,2258.66,2135.27625,0,0,0
12/29/2016,0.2,2249.92,0,2249.92,2140.6065,0,0,0
1/5/2017,0.21,2270.75,0,2270.75,2145.7765,0,0,0
1/12/2017,0.17,2275.32,0,2275.32,2150.993,0,0,0
1/19/2017,0.04,2271.89,0,2271.89,2155.72975,0,0,0
1/26/2017,-0.02,2298.37,0,2298.37,2160.629,0,0,0
2/2/2017,-0.01,2279.55,0,2279.55,2165.239,0,0,0
2/9/2017,0.08,2294.67,0,2294.67,2171.32775,0,0,0
2/16/2017,0.01,2347.22,0,2347.22,2178.39675,0,0,0
2/23/2017,0.06,2362.82,0,2362.82,2186.2765,0,0,0
3/2/2017,0.02,2395.96,0,2395.96,2193.912,0,0,0
3/9/2017,-0.17,2362.98,0,2362.98,2200.50325,0,0,0
3/16/2017,-0.08,2385.26,0,2385.26,2207.3315,0,0,0
3/23/2017,0.05,2348.45,0,2348.45,2214.25525,0,0,0
3/30/2017,-0.07,2361.13,0,2361.13,2221.14725,0,0,0
4/6/2017,-0.11,2352.95,0,2352.95,2228.20175,0,0,0
4/13/2017,-0.08,2344.93,0,2344.93,2234.33175,0,0,0
4/20/2017,-0.13,2338.17,0,2338.17,2238.97525,0,0,0
4/27/2017,0.06,2387.45,0,2387.45,2244.336,0,0,0
5/4/2017,0.08,2388.13,0,2388.13,2249.87475,0,0,0
5/11/2017,0.03,2399.63,0,2399.63,2255.77075,0,0,0
5/18/2017,-0.1,2357.03,0,2357.03,2260.30925,0,0,0
5/25/2017,0.03,2404.39,0,2404.39,2265.8635,0,0,0
6/1/2017,-0.05,2411.8,0,2411.8,2271.7725,0,0,0
6/8/2017,0.06,2433.14,0,2433.14,2278.3295,0,0,0
6/15/2017,0.03,2437.92,0,2437.92,2284.6235,0,0,0
6/22/2017,0.04,2435.61,0,2435.61,2292.3695,0,0,0
6/29/2017,0.03,2440.69,0,2440.69,2299.30875,0,0,0
7/6/2017,0,2432.54,0,2432.54,2305.838,0,0,0
7/13/2017,-0.01,2443.25,0,2443.25,2312.926,0,0,0
7/20/2017,0.1,2473.83,0,2473.83,2321.29225,0,0,0
7/27/2017,0.1,2477.83,0,2477.83,2329.63075,0,0,0
8/3/2017,0.04,2477.57,0,2477.57,2338.08425,0,0,0
8/10/2017,0.01,2474.02,0,2474.02,2347.48625,0,0,0
8/17/2017,0.01,2468.11,0,2468.11,2355.1075,0,0,0
8/24/2017,-0.1,2444.04,0,2444.04,2362.1035,0,0,0
8/31/2017,-0.15,2457.59,0,2457.59,2368.42525,0,0,0
9/7/2017,-0.06,2465.54,0,2465.54,2375.0935,0,0,0
9/14/2017,0.19,2498.37,0,2498.37,2381.519,0,0,0
9/21/2017,0.13,2508.24,0,2508.24,2387.893,0,0,0
9/28/2017,0.05,2507.04,0,2507.04,2394.1025,0,0,0
10/5/2017,0.03,2537.74,0,2537.74,2401.298,0,0,0
10/12/2017,0.13,2555.24,0,2555.24,2408.41025,0,0,0
10/19/2017,0.1,2561.26,0,2561.26,2415.55875,0,0,0
10/26/2017,0.07,2557.15,0,2557.15,2422.69025,0,0,0
11/2/2017,0.16,2579.36,0,2579.36,2429.715,0,0,0
11/9/2017,0.22,2594.38,0,2594.38,2437.58575,0,0,0
